Date,lon,lat
2010-07-08,-149.3100,35.7750
2010-07-08,-159.5500,32.9500
2010-07-08,-161.7833,38.9667
2010-07-08,-162.9500,40.1167
2010-07-08,-160.2667,43.0667
2010-07-08,-151.7167,46.6500
2010-07-08,-152.3518,38.0762
2010-07-08,-153.6367,35.7733
2010-07-08,-149.5742,37.8873
2010-07-13,-141.9933,38.0007
2010-07-15,-138.8018,38.1875
2010-07-15,-128.1462,36.6393
2010-07-16,-124.5000,35.7667
2010-07-17,-156.1667,24.3667
2010-07-21,-154.3000,27.4833
2010-07-21,-150.9667,32.4000
2010-07-21,-146.5000,36.5500
2010-07-21,-142.9000,36.1000
2010-07-21,-139.9500,35.7000
2010-07-21,-136.1000,36.0000
2010-07-21,-158.0833,22.1333
2010-07-21,-158.6667,22.8333
2010-07-21,-156.7833,24.2500
2010-07-22,-155.5000,25.5333
2010-07-26,-154.1667,26.6333
2010-07-27,-150.4667,30.5000
2010-07-27,-148.1167,31.4000
2010-07-27,-147.7000,35.1833
2010-07-27,-144.7667,33.4167
2010-07-27,-139.4500,33.7167
2010-07-28,-136.4333,33.1667
2010-07-28,-132.3000,31.5667
2010-07-28,-127.8667,31.5167
2010-07-29,-119.8000,34.1667
2010-07-29,-158.1222,31.2552
2010-07-29,-156.0684,31.6334
2010-07-29,-153.8981,33.0571
2010-07-29,-154.1450,32.9783
2010-07-29,-155.0567,29.0717
2010-07-30,-155.0300,30.0250
2010-07-30,-154.7700,30.9867
2010-07-30,-154.2350,30.9850
2010-07-30,-152.9033,30.7750
2010-07-31,-152.4833,30.6700
2010-07-31,-150.8850,30.6667
2010-07-31,-150.4400,30.9017
2010-07-31,-149.2467,31.4900
2010-07-31,-148.9783,31.9917
2010-07-31,-148.0717,32.8967
2010-08-01,-147.6100,33.2733
2010-08-08,-146.6683,34.3983
2010-08-08,-146.3617,34.7650
2010-08-08,-144.7883,35.2250
2010-08-08,-144.2033,35.3033
2010-08-08,-142.1350,35.6000
2010-08-08,-141.5217,35.4817
2010-08-08,-139.3850,35.4183
2010-08-13,-138.7833,35.4600
2010-08-28,-156.6000,30.2500
2010-08-29,-156.3167,30.5063
2010-08-29,-154.3833,32.0333
2010-08-30,-151.5667,33.0500
2010-08-31,-149.0040,34.2513
2010-09-01,-146.8333,35.6333
2010-09-01,-144.8167,36.7833
2010-09-01,-142.1833,38.5667
2010-09-02,-157.7995,21.9037
2010-09-02,-157.4276,24.9106
2010-09-08,-157.6883,24.0219
2010-09-08,-157.1167,27.7333
2010-09-08,-157.1617,26.8867
2010-09-08,-157.0833,30.4000
2010-09-08,-157.1333,29.6667
2010-10-01,-156.4917,32.5083
2010-10-01,-156.7667,31.8833
2010-10-01,-155.5469,33.7975
2010-10-07,-155.3343,34.3120
2010-10-07,-154.1437,35.6339
2010-10-08,-153.2645,36.1852
2010-10-08,-150.3047,37.6891
2010-10-08,-151.1729,37.1840
2010-10-08,-147.5733,39.7213
2010-10-11,-148.2517,39.1560
2010-11-01,-146.6097,41.2205
2010-11-01,-146.3295,41.6703
2010-11-07,83.0030,5.6200
2010-11-07,83.3180,5.6610
2010-11-08,85.0370,5.8980
2010-11-11,87.2700,6.1880
2010-11-11,87.0140,6.1700
2010-11-13,85.5330,5.9500
2010-11-13,85.2580,5.9220
2010-11-14,89.0910,6.4480
2010-11-14,87.3650,6.1980
2010-11-16,92.0540,6.4900
2010-11-17,90.7680,6.6130
2010-11-18,90.5960,6.6300
2010-11-18,92.3510,6.5060
2010-11-19,92.2750,6.4970
2010-11-19,93.9640,6.6580
2010-11-20,93.8570,6.6280
2010-11-21,-72.7220,-32.8627
2010-11-23,-73.7013,-32.8038
2010-11-23,-77.4481,-32.4972
2010-11-24,-78.5765,-32.3752
2010-11-24,-79.2926,-32.2974
2010-11-24,-82.8880,-31.9064
2010-11-25,-84.1668,-31.7669
2010-11-25,-85.3259,-31.6404
2010-11-26,-88.6466,-31.1997
2010-11-26,-89.5242,-31.0447
2010-11-27,-90.8980,-30.8015
2010-11-27,-94.4413,-30.0226
2010-11-27,-95.5771,-29.7475
2010-11-27,-96.5755,-29.4875
2010-11-28,-99.8404,-28.5743
2010-11-28,-101.0936,-28.1803
2010-11-29,-102.1355,-27.8516
2010-11-29,-105.4256,-26.4840
2010-11-30,-106.5247,-26.6293
2010-11-30,-108.8627,-27.4284
2010-11-30,-107.9983,-27.6904
2010-12-01,-104.5978,-28.7147
2010-12-01,-103.5481,-29.0015
2010-12-07,-102.8011,-29.1871
2010-12-07,-99.3412,-30.0421
2010-12-11,-98.1671,-30.3117
2010-12-11,-97.2965,-30.4833
2011-01-02,-94.2208,-31.0871
2011-01-02,-92.9653,-31.3323
2011-01-04,-92.1651,-31.4549
